id,name,description,price,duration_in_days
7,Adidas,certificate,220,60
20,Auto cosmetics,For men only,200,60
24,Nike certificate,sport certificate,500,60
25,OZ.by certificate,gifts for any flavor,150,60
26,Nike certificate,sport certificate,250,90
27,Nike certificate,sport certificate,200,120
28,Nike certificate,sport certificate,300,60
29,Adidas certificate updated,gift certificate,100,60
30,Auto cosmetics,car care products,150,90
31,OZ.by certificate,any type of information recording,250,90
32,Zara,Gold certificate,500,120
33,Zara,Silver certificate,300,120
34,Certificate,Silver certificate,200,120
35,Certificate 2,Silver certificate,200,120
39,Certificate66,Silver certificate,370,90
52,Zara,Bronze certificate,200,30
66,Certificate67,Silver certificate,380,90
69,Certificate 87,Silver certificate,450,90
70,Certificate 99,Silver certificate,450,120
71,Certificate 100,Silver certificate,550,120
72,Certificate 120,Silver certificate,550,120
73,Certificate 12,Silver certificate,350,120
74,Certificate 13,Silver certificate,300,120
77,Certificate 15,Silver certificate,300,120
84,Certificate 19,Silver certificate,300,60
86,Certificate 20,Silver certificate,375,60
87,Certificate 20,Silver certificate,350,60
88,Certificate JPA delete test,delete test certificate,390.69,60
90,Twimm 90,Universal static firmware,781.17,76
91,Mydeo 91,Monitored encompassing monitoring,587.43,53
92,Dabfeed 92,Object-based context-sensitive projection,344.69,63
93,Dynabox 93,Quality-focused national project,826.42,16
94,Eayo 94,Grass-roots leading edge artificial intelligence,608.48,49
95,Vinte 95,Persevering homogeneous forecast,180.17,61
96,Avamba 96,Profound intermediate initiative,833.08,23
97,Mybuzz 97,Profit-focused non-volatile emulation,818.98,46
98,Eare 98,Proactive hybrid frame,439.43,62
99,Youbridge 99,Persistent fault-tolerant toolset,229.75,55
100,Yamia 100,Persistent maximized extranet,771.95,100
101,Reallinks 101,Balanced intermediate approach,697.5,40
102,Tazz 102,Inverse client-driven model,536.79,24
103,Quamba 103,Future-proofed uniform productivity,539.25,97
104,Feedmix 104,Extended systematic focus group,685.97,79
105,Plambee 105,Configurable holistic portal,256.4,77
106,Gabtype 106,Front-line upward-trending task-force,698.18,72
107,Latz 107,Programmable intangible task-force,819.13,84
108,Babbleset 108,Re-contextualized methodical approach,296.55,10
109,Kwinu 109,Cross-group hybrid policy,469.79,65
110,Abata 110,Robust neutral toolset,904.62,44
111,Photobean 111,Robust incremental circuit,572.74,82
112,Bluejam 112,Seamless solution-oriented database,203.54,32
113,Geba 113,Open-source leading edge hardware,101.29,84
114,Babblestorm 114,Intuitive empowering productivity,373.68,11
115,Skivee 115,Reverse-engineered composite structure,482.75,42
116,Eazzy 116,Future-proofed needs-based strategy,803.78,45
117,Reallinks 117,Diverse composite orchestration,973.88,73
118,Zooveo 118,Integrated bi-directional moderator,350.45,46
119,Skyble 119,Customizable didactic knowledge base,294.59,46
120,Yambee 120,Universal local utilisation,961.21,29
121,Trupe 121,Integrated object-oriented parallelism,502.66,24
122,Fanoodle 122,Business-focused full-range firmware,728.96,44
123,Janyx 123,Public-key zero tolerance paradigm,332.33,39
124,Voonyx 124,Synergistic maximized moratorium,495.5,96
125,Riffpath 125,Automated 6th generation circuit,677.27,63
126,Wikivu 126,Mandatory client-server policy,283.77,49
127,Jayo 127,Exclusive fault-tolerant internet solution,532.19,8
128,Cogibox 128,Open-source coherent forecast,242.48,90
129,Yambee 129,Fully-configurable coherent capability,340.14,70
130,Yadel 130,Streamlined context-sensitive analyzer,969.24,57
131,Eare 131,Vision-oriented asynchronous instruction set,493.09,16
132,Leenti 132,Configurable bifurcated moratorium,795.14,59
133,Yadel 133,Digitized stable leverage,498.77,48
134,Edgeclub 134,Up-sized methodical support,296.37,19
135,Browsezoom 135,Exclusive 3rd generation definition,289.4,81
136,Riffpath 136,Intuitive optimal time-frame,903.92,34
137,Oyondu 137,Multi-tiered dedicated collaboration,544.13,95
138,Skippad 138,Compatible tangible contingency,235.46,93
139,Wordware 139,Synergistic systematic customer loyalty,979.01,17
140,Rhyloo 140,Upgradable intermediate moratorium,776.01,4
141,Trudoo 141,Multi-tiered needs-based neural-net,165.77,78
142,Babbleopia 142,Visionary fault-tolerant software,933.13,51
143,Wordtune 143,Object-based global pricing structure,196.77,2
144,Plambee 144,Down-sized high-level archive,731.89,95
145,Roombo 145,Persevering uniform paradigm,268.94,13
146,Bluejam 146,Stand-alone stable infrastructure,238.02,81
147,Avavee 147,Automated optimal artificial intelligence,178.14,82
148,Twitternation 148,Polarised encompassing synergy,561.37,40
149,Vinte 149,Multi-channelled responsive knowledge base,670.89,95
150,Dazzlesphere 150,Ameliorated uniform data-warehouse,933.61,23
151,Youbridge 151,Proactive asymmetric flexibility,175.92,40
152,Vitz 152,Fundamental bi-directional Graphic Interface,741.57,100
153,Photojam 153,Monitored multimedia focus group,731.43,71
154,Aivee 154,Total system-worthy open system,219.37,93
155,Kayveo 155,Fundamental contextually-based array,895.45,40
156,Flashspan 156,User-friendly coherent moderator,168.62,89
157,Jetwire 157,Streamlined bifurcated projection,234.69,99
158,Divanoodle 158,Object-based non-volatile methodology,562.28,35
159,Thoughtbridge 159,Down-sized leading edge architecture,453.35,98
160,Gevee 160,Centralized intangible capacity,743.31,9
161,Thoughtblab 161,Synergized value-added workforce,462.59,65
162,Mydeo 162,Cross-platform explicit array,440.6,16
163,Kimia 163,Virtual fresh-thinking info-mediaries,389.12,93
164,Gabvine 164,Versatile maximized throughput,670.28,22
165,Thoughtstorm 165,Optimized solution-oriented throughput,988.97,54
166,Geba 166,Innovative optimizing function,548.87,6
167,Skiba 167,Multi-tiered responsive circuit,934.24,54
168,Yombu 168,Inverse grid-enabled toolset,231.06,68
169,Brightdog 169,Automated bifurcated open architecture,213.59,33
170,Gigashots 170,Stand-alone exuding data-warehouse,100.75,20
171,Fivespan 171,Progressive contextually-based collaboration,671.53,7
172,Gigashots 172,Managed human-resource adapter,729.32,3
173,Browsedrive 173,Managed bottom-line pricing structure,929.84,68
174,Feedfire 174,Proactive zero tolerance methodology,789.53,77
175,Brightbean 175,Assimilated explicit hub,973.77,54
176,Rhycero 176,Customer-focused systematic ability,930.66,36
177,Blogspan 177,Customizable holistic encoding,296.51,96
178,Meeveo 178,Triple-buffered coherent extranet,302.35,65
179,Oyoyo 179,Advanced didactic firmware,765.57,54
180,Meejo 180,Advanced optimal firmware,773.62,30
181,Youspan 181,Polarised multi-state approach,100.22,79
182,Meejo 182,Robust disintermediate workforce,315.31,35
183,Flipopia 183,Cross-group actuating moderator,591.14,54
184,Babblestorm 184,Integrated context-sensitive protocol,522.34,36
185,Aivee 185,Optional systemic process improvement,961.59,15
186,Feedspan 186,Optional bifurcated forecast,916.5,41
187,Zoozzy 187,Centralized maximized framework,889.88,21
188,Skivee 188,Exclusive zero defect info-mediaries,853.88,14
189,Browseblab 189,Focused global local area network,537.2,18
190,Jayo 190,Reduced asynchronous middleware,469.31,79
191,Dynabox 191,Customer-focused discrete parallelism,153.41,7
192,Flipopia 192,Compatible disintermediate local area network,553.58,97
193,Linkbridge 193,Optimized upward-trending local area network,497.96,18
194,Twitternation 194,Configurable systematic database,552.64,87
195,LiveZ 195,Balanced heuristic framework,293.36,56
196,Vinte 196,Expanded impactful projection,438.22,38
197,Jabberbean 197,Horizontal even-keeled standardization,411.91,8
198,Jazzy 198,Vision-oriented client-driven paradigm,469.91,25
199,Skyble 199,Configurable bottom-line neural-net,254.03,50
200,Meedoo 200,Devolved optimizing hardware,842.15,78
201,Wikido 201,Business-focused contextually-based functionalities,543.48,19
202,Meevee 202,Team-oriented 24 hour success,745.05,29
203,Oodoo 203,Exclusive incremental customer loyalty,359.15,22
204,Babbleblab 204,Distributed static service-desk,815.08,88
205,Feedmix 205,Object-based bandwidth-monitored software,199.97,27
206,Quimba 206,De-engineered directional function,683.08,99
207,Kamba 207,Profit-focused exuding hierarchy,354.63,26
208,Jaxbean 208,Digitized analyzing circuit,106.45,38
209,Buzzdog 209,Integrated asymmetric open architecture,573.88,3
210,Jaxworks 210,Compatible zero defect open system,152.04,73
